Id,Neighborhood,OverallQual,OverallCond,YearBuilt,House age,Vintage in Portafolio,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,SaleType,Market Price,Stat,LotArea
1,CollgCr,7,5,1997,23,1,2,1,3,1,Gd,8,Typ,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,2,WD,208500,Sold,8450
2,Veenker,6,8,2003,17,3,2,0,3,1,TA,6,Typ,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,5,WD,181500,Sold,9600
3,CollgCr,7,5,2000,20,3,2,1,3,1,Gd,6,Typ,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,9,WD,223500,Sold,11250
4,Crawfor,7,5,1987,33,1,1,0,3,1,Gd,7,Typ,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,2,WD,140000,Sold,9550
5,NoRidge,8,5,2013,7,1,2,1,4,1,Gd,9,Typ,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,12,WD,250000,In portafolio,14260
6,Mitchel,5,5,1987,33,2,1,1,1,1,TA,5,Typ,Unf,2,480,TA,TA,Y,40,30,0,320,0,700,10,WD,143000,Sold,14115
7,Somerst,8,5,2019,1,2,2,0,3,1,Gd,7,Typ,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,8,WD,307000,In portafolio,10084
8,NWAmes,7,6,1985,35,3,2,1,3,1,TA,7,Typ,RFn,2,484,TA,TA,Y,235,204,228,0,0,350,11,WD,200000,In portafolio,10382
9,OldTown,7,5,1990,30,2,2,0,2,2,TA,8,Min1,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,4,WD,129900,Sold,6120
10,BrkSide,5,6,2004,16,3,1,0,2,2,TA,5,Typ,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,1,WD,118000,Sold,7420
11,Sawyer,5,5,1983,37,5,1,0,3,1,TA,5,Typ,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,2,WD,129500,In portafolio,11200
12,NridgHt,9,5,1986,34,1,3,0,4,1,Ex,11,Typ,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,7,New,345000,In portafolio,11924
13,Sawyer,5,6,2005,15,4,1,0,2,1,TA,4,Typ,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,9,WD,144000,Sold,12968
14,CollgCr,7,5,1996,24,1,2,0,3,1,Gd,7,Typ,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,8,New,279500,In portafolio,10652
15,NAmes,6,5,2010,10,3,1,1,2,1,TA,5,Typ,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,5,WD,157000,In portafolio,10920
16,BrkSide,7,8,2013,7,5,1,0,2,1,TA,5,Typ,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,7,WD,132000,Sold,6120
17,NAmes,6,7,2003,17,1,1,0,2,1,TA,5,Typ,Fin,2,480,TA,TA,Y,0,0,0,0,0,700,3,WD,149000,In portafolio,11241
18,Sawyer,4,5,2002,18,5,2,0,2,2,TA,6,Typ,Unf,2,516,TA,TA,Y,0,0,0,0,0,500,10,WD,90000,Sold,10791
19,SawyerW,5,5,1987,33,4,1,1,3,1,Gd,6,Typ,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,6,WD,159000,Sold,13695
20,NAmes,5,6,2008,12,1,1,0,3,1,TA,6,Min1,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,5,COD,139000,In portafolio,7560
21,NridgHt,8,5,2018,2,1,3,1,4,1,Gd,9,Typ,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,11,New,325300,In portafolio,14215
22,IDOTRR,7,7,2020,0,1,1,0,3,1,Gd,6,Typ,Unf,1,280,TA,TA,N,0,0,205,0,0,0,6,WD,139400,In portafolio,7449
23,CollgCr,8,5,1980,40,3,2,0,3,1,Gd,7,Typ,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,9,WD,230000,In portafolio,9742
24,MeadowV,5,7,1996,24,3,1,0,3,1,TA,6,Typ,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,6,WD,129900,In portafolio,4224
25,Sawyer,5,8,2019,1,4,1,0,3,1,Gd,6,Typ,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,5,WD,154000,In portafolio,8246
26,NridgHt,8,5,2010,10,4,2,0,3,1,Gd,7,Typ,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,7,WD,256300,Sold,14230
27,NAmes,5,7,1987,33,1,1,0,3,1,Gd,5,Typ,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,5,WD,134800,Sold,7200
28,NridgHt,8,5,2005,15,4,2,0,3,1,Gd,7,Typ,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,5,WD,306000,In portafolio,11478
29,NAmes,5,6,1991,29,3,1,0,2,1,TA,6,Typ,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,12,WD,207500,Sold,16321
30,BrkSide,4,6,2013,7,3,1,0,1,1,Fa,4,Typ,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,5,WD,68500,In portafolio,6324
31,IDOTRR,4,4,1997,23,5,1,0,3,1,TA,6,Typ,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,7,WD,40000,In portafolio,8500
32,Sawyer,5,6,1990,30,3,1,1,3,1,Gd,6,Typ,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,6,WD,149350,In portafolio,8544
33,CollgCr,8,5,1990,30,3,2,0,3,1,Gd,7,Typ,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,1,WD,179900,In portafolio,11049
